Draw,Date,Weekday,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
21/037,2021-05-14,Friday,5,14,28,29,31,37,11,31,2,4,4,2,1,1,2,2,0,2,14831010,3,609180,134,36360,279,9600,4679.4,640,6599.7,320,71882.2,40,44535503
21/036,2021-05-11,Tuesday,15,22,30,31,35,45,6,22,2,4,4,2,0,1,2,2,1,0.5,22829870,0.5,1349470,91.5,78650,223,9600,4128.2,640,6013.4,320,77540.4,40,54780065
21/035,2021-05-07,Friday,5,8,22,26,40,41,46,8,3,3,2,4,2,0,2,1,1,0,0,0.5,1213315,70.5,91780,123.5,9600,3723,640,3845,320,74298.1,40,47311439
21/034,2021-05-04,Tuesday,8,9,10,19,38,45,6,9,4,2,3,3,3,1,0,1,1,0,0,0,0,115.5,33990,278,9600,4978,640,9236.3,320,85034.6,40,42587540
21/033,2021-04-30,Friday,7,9,29,33,36,49,41,,2,4,5,1,2,0,1,2,1,0,0,1,1614910,85.5,50360,143.5,9600,4660.2,640,4032.5,320,79553.5,40,38265895
21/032,2021-04-27,Tuesday,2,13,15,19,38,41,30,15,4,2,4,2,1,3,0,1,1,0,0,1,1882270,46.5,107940,110.5,9600,2426.7,640,3574.4,320,48211.9,40,36066196
21/031,2021-04-23,Friday,15,18,20,23,31,47,12,,4,2,4,2,0,3,1,1,1,0,0,2,781530,34,122590,134,9600,2517,640,4037.5,320,48125,40,32528370
21/030,2021-04-20,Tuesday,12,32,40,42,48,49,27,,1,5,1,5,0,1,0,2,3,0,0,1.5,925790,56,66120,113,9600,2566.5,640,3170,320,42269.8,40,28900309
21/029,2021-04-16,Friday,5,6,17,23,29,38,24,,4,2,4,2,2,1,2,1,0,1,19281120,3,532870,81,52620,209.5,9600,4503.1,640,5836.3,320,75830.1,40,39824924
21/028,2021-04-13,Tuesday,7,10,13,14,20,35,49,"7,13,14",5,1,3,3,2,3,0,1,0,0.5,14485280,3.5,589580,81,67930,193,9600,5240.5,640,5226,320,87919.4,40,47247039
21/027,2021-04-09,Friday,7,9,12,13,14,16,23,7,6,0,3,3,2,4,0,0,0,0,0,3,422280,166,20350,322.5,9600,6495.9,640,8177.6,320,93311.5,40,42377097
21/026,2021-04-06,Tuesday,4,7,8,20,22,41,21,,5,1,2,4,3,1,1,0,1,0,0,5,278050,46,80590,279,9600,3781.6,640,6933.9,320,74245.4,40,37912073
21/025,2021-04-02,Friday,1,2,33,34,42,49,39,,2,4,3,3,2,0,0,2,2,0,0,1.5,1059040,62.5,67770,168.5,9600,3415.7,640,4046,320,61111,40,35519840
21/024,2021-03-30,Tuesday,24,26,36,37,41,43,31,"24,26,43",1,5,3,3,0,0,2,2,2,0.5,10042790,2,1033390,41,134420,139,9600,2202.9,640,4019.4,320,46469.2,40,38945364
21/023,2021-03-26,Friday,6,12,24,26,30,43,20,,3,3,1,5,1,1,3,0,1,0,0,3,492660,70.7,55740,179.5,9600,3719.6,640,4631.2,320,64381,40,35164581
21/022,2021-03-23,Tuesday,11,14,16,19,38,41,6,14,4,2,3,3,0,4,0,1,1,0,0,0,0,34,113820,106.5,9600,2160.1,640,3834.8,320,43148.1,40,29610245
21/021,2021-03-19,Friday,3,8,9,14,23,25,35,,5,1,4,2,3,1,2,0,0,1.5,76287420,10.5,774000,641.5,33780,1018,9600,30004.3,640,24937.5,320,459280.1,40,212714434
21/020,2021-03-12,Friday,16,17,21,24,43,47,30,43,4,2,4,2,0,2,2,0,2,0,0,0.5,2890155,163.5,94270,371,9600,7968,640,11684,320,163330.5,40,113481168
21/019,2021-03-05,Friday,1,23,32,38,43,46,5,,2,4,3,3,1,0,1,2,2,0,0,0.5,1820250,66,147090,229,9600,5333.5,640,7283.4,320,104035.3,40,71804210
21/018,2021-03-02,Tuesday,6,15,16,21,27,28,43,,4,2,3,3,1,2,3,0,0,0,0,3,920510,147,50090,240,9600,7215.7,640,6550,320,117943.7,40,62901664
21/017,2021-02-26,Friday,14,17,35,37,39,46,2,14,2,4,4,2,0,2,0,3,1,0,0,0,0,72.5,106100,123.5,9600,3878.4,640,4002.4,320,70138,40,53494124
21/016,2021-02-23,Tuesday,2,14,18,28,34,44,21,"14,44",3,3,0,6,1,2,1,1,1,0,0,0.5,1147815,72,85020,188,9600,3726,640,5080.6,320,71104.6,40,47180072
21/015,2021-02-19,Friday,4,5,13,14,25,44,16,13,4,2,3,3,2,2,1,0,1,0,0,0,0,64,84270,102.5,9600,3583,640,4002.7,320,65294.8,40,40716305
21/014,2021-02-16,Tuesday,3,13,28,30,31,45,22,31,2,4,4,2,1,1,2,1,1,0,0,1,1914820,69,74000,167,9600,3483.7,640,5017.8,320,65713,40,40916701
21/013,2021-02-12,Friday,6,25,31,36,41,47,10,31,1,5,4,2,1,0,1,2,2,0,0,2.5,788650,50.5,104110,142.5,9600,2661.5,640,3622.4,320,48989.7,40,38211618
21/012,2021-02-09,Tuesday,1,2,16,20,31,38,7,16,4,2,2,4,2,2,0,2,0,0,0,0,0,33.5,108850,129.5,9600,2132.8,640,4302.7,320,45215.1,40,29280634
21/011,2021-02-05,Friday,10,16,22,40,44,45,49,,3,3,1,5,1,1,1,1,2,0.5,4000000,1,1276730,31.5,108080,112.5,9600,2231.7,640,3097,320,38370.3,40,26643557
21/010,2021-02-02,Tuesday,18,21,24,26,30,35,48,"30,35",3,3,2,4,0,1,4,1,0,1,63275870,0.5,1608280,88.5,96920,271,9600,5971.6,640,6880,320,109346.7,40,67710117
21/009,2021-01-29,Friday,2,10,30,31,35,46,3,,2,4,2,4,2,0,1,2,1,0,0,4,720540,52.5,146390,209,9600,3909.4,640,6257.4,320,81060.6,40,57163282
21/008,2021-01-26,Tuesday,5,9,16,21,44,49,15,"16,21",4,2,4,2,2,1,1,0,2,0,0,0.5,1219575,72,90330,157,9600,3469,640,4933.5,320,73180.9,40,48338079
21/007,2021-01-22,Friday,15,16,18,21,24,31,22,21,5,1,3,3,0,3,2,1,0,0,0,1,2014910,55,97690,173,9600,3127,640,4761.8,320,60796.6,40,41442617
21/006,2021-01-19,Tuesday,14,21,22,38,40,45,17,45,3,3,2,4,0,1,2,2,1,0,0,2,981510,76,68870,114.5,9600,3598.7,640,3327.7,320,58483.7,40,39236623
21/005,2021-01-15,Friday,4,24,39,41,42,45,6,,2,4,3,3,1,0,1,1,3,0,0,0,0,60,73400,112.5,9600,3221.8,640,3258,320,51297.9,40,33954469
21/004,2021-01-12,Tuesday,5,19,22,26,35,40,2,"5,19",3,3,3,3,1,1,2,2,0,0.5,15843325,0,0,63,87160,94.5,9600,2742.8,640,4024.1,320,53205.2,40,39195164
21/003,2021-01-08,Friday,5,19,29,32,33,34,43,,2,4,4,2,1,1,1,3,0,0,0,2,817950,51.5,84700,137.5,9600,2874.5,640,4253,320,55168.5,40,34652069
21/002,2021-01-05,Tuesday,22,24,30,36,38,46,33,46,2,4,0,6,0,0,3,2,1,0,0,2.5,644110,36.5,117640,156.2,9600,2290.7,640,4542.6,320,44906.1,40,33356224
21/001,2021-01-02,Saturday,3,9,14,21,45,46,34,,4,2,4,2,2,1,1,0,2,0.5,14765660,0.5,1004335,46,116440,114.5,9600,2723.5,640,3602.5,320,54484.5,40,38685150
20/030,2020-12-29,Tuesday,10,11,24,39,41,42,22,"24,41",3,3,3,3,1,1,1,1,2,0,0,4,427430,51,89390,130.5,9600,2675.5,640,3834.7,320,52970.7,40,34882554
20/029,2020-12-25,Friday,14,18,24,27,28,41,45,,3,3,2,4,0,2,3,0,1,0,0,0,0,39.5,103500,63.5,9600,2158.2,640,2878.7,320,45428.5,40,29557188
20/028,2020-12-22,Tuesday,11,20,36,37,39,48,21,11,2,4,3,3,0,2,0,3,1,0,0,1,1414530,30,125730,85.5,9600,1446.2,640,2327.2,320,31431.5,40,26131837
20/027,2020-12-18,Friday,8,11,12,23,34,49,28,11,4,2,3,3,1,2,1,1,1,0,0,1,766250,64,31920,149,9600,2917.9,640,4091.9,320,48694,40,22534419
20/026,2020-12-15,Tuesday,2,11,13,20,21,33,14,11,5,1,4,2,1,3,1,1,0,1,8000000,3.5,245280,100,22890,121.5,9600,3517,640,3497.8,320,54750.5,40,24103839
20/025,2020-12-11,Friday,1,11,23,29,41,46,44,,3,3,5,1,1,1,2,0,2,1,13089780,0.5,644390,33.5,102590,98,9600,2455.6,640,3091,320,46635.4,40,27423312
20/024,2020-12-08,Tuesday,7,32,34,35,48,49,23,,1,5,3,3,1,0,0,3,2,0,0,0,0,44.5,73310,88.5,9600,1751.5,640,3135.2,320,33932.9,40,24618411
20/023,2020-12-04,Friday,11,13,19,38,39,41,47,,3,3,5,1,0,3,0,2,1,1,22100500,3,537170,84.5,50850,97,9600,3238.5,640,3080.5,320,57541.7,40,33513419
20/022,2020-12-01,Tuesday,24,27,29,31,42,47,22,27,1,5,4,2,0,0,3,1,2,0,0,2,894640,36,132540,104.5,9600,1987.5,640,2964.7,320,41335.4,40,33306904
20/021,2020-11-27,Friday,5,12,13,23,27,38,39,12,4,2,4,2,1,2,2,1,0,0,0,2,649670,77.4,44760,180.5,9600,4096.6,640,4418.5,320,69587.9,40,33465077
20/020,2020-11-24,Tuesday,7,12,16,22,45,47,25,22,4,2,3,3,1,2,1,0,2,0,0,1,1802750,47,102280,144,9600,2927.5,640,4083.2,320,57836,40,37190857
20/019,2020-11-20,Friday,22,25,30,33,34,43,24,33,1,5,3,3,0,0,3,2,1,1,52526520,6.5,515490,142.5,62700,433.5,9600,6653,640,10638.2,320,119711.9,40,76221844
20/018,2020-11-17,Tuesday,13,19,20,21,33,49,45,,4,2,5,1,0,3,1,1,1,0,0,3,945850,124,61020,306.5,9600,6664.5,640,7925.5,320,113656.1,40,64959292
20/017,2020-11-13,Friday,6,15,17,18,28,47,32,"15,28",4,2,3,3,1,3,1,0,1,0,0,2.5,1065440,95,74760,227,9600,4854.5,640,6278.8,320,92604.5,40,56505771
20/016,2020-11-10,Tuesday,13,15,25,28,45,49,24,,2,4,5,1,0,2,2,0,2,0,0,2.5,912940,84,72450,235,9600,4551.5,640,6080.7,320,78003.4,40,49917600
20/015,2020-11-06,Friday,11,17,35,36,38,40,6,"11,38,40",2,4,3,3,0,2,0,4,0,0,0,1,2706510,71,101650,196.5,9600,4054.1,640,7024.5,320,76561.9,40,54850509
20/014,2020-10-29,Thursday,6,11,33,38,40,43,2,,2,4,3,3,1,1,0,3,1,0.5,11004180,3,829780,74,89700,178.5,9600,4412,640,5594.4,320,84367.7,40,51739483
20/013,2020-10-22,Thursday,1,13,19,24,29,45,26,,4,2,5,1,1,2,2,0,1,0,0,1.5,1453390,107,54330,161,9600,4671.9,640,4873.9,320,81550,40,46904829
20/012,2020-10-15,Thursday,9,26,28,33,38,46,44,"28,33",1,5,2,4,1,0,2,2,1,0,0,2,683380,54,67490,153.5,9600,3239.6,640,3705,320,56959.1,40,31525574
20/011,2020-10-08,Thursday,21,28,33,34,40,47,49,"21,28",1,5,3,3,0,0,2,3,1,1,16196490,1,2216100,58,101880,117.5,9600,2416.5,640,3921.5,320,48896.3,40,40963844
20/010,2020-09-29,Tuesday,9,21,26,27,28,48,45,26,2,4,3,3,1,0,4,0,1,0,0,0,0,44.5,92770,83.5,9600,3026.2,640,2792,320,56603.4,40,31922174
20/009,2020-09-24,Thursday,11,24,26,35,42,44,20,,2,4,2,4,0,1,2,1,2,1,8000000,1,2353760,62.5,100420,134,9600,3159.1,640,4359,320,62018.4,40,45236174
20/008,2020-02-01,Saturday,3,5,30,31,43,48,13,,2,4,4,2,2,0,1,1,2,1.5,38895010,5,1356160,225.5,80180,746.5,9600,12442.5,640,20421,320,239830.4,40,149877805
20/007,2020-01-23,Thursday,2,11,13,45,46,49,42,11,3,3,4,2,1,2,0,0,3,0,0,1.5,1932270,72.5,106600,195.5,9600,4135.5,640,5240,320,83056.3,40,56956207
20/006,2020-01-21,Tuesday,11,14,21,28,37,44,36,,3,3,3,3,0,2,2,1,1,0,0,4,624040,78,85330,208,9600,4479,640,5050.6,320,85123.8,40,52169435
20/005,2020-01-18,Saturday,18,29,32,33,36,40,38,32,1,5,2,4,0,1,1,4,0,0,0,3,607520,48,101250,176.5,9600,2891.6,640,4765.4,320,53950.9,40,38111373
20/004,2020-01-16,Thursday,2,20,24,30,32,46,1,,3,3,0,6,1,1,2,1,1,2,65041090,7.5,1520900,401,75850,1139,9600,22665.7,640,34455.1,320,411196.4,40,252741025
20/003,2020-01-12,Sunday,5,17,35,37,42,49,39,37,2,4,5,1,1,1,0,2,2,0,0,6.5,1193790,212,97600,553.5,9600,11671,640,16557.2,320,226151.2,40,155508613
20/002,2020-01-07,Tuesday,1,24,25,27,31,37,8,37,2,4,5,1,1,0,3,2,0,0,0,4.5,1327140,188.5,84480,516,9600,11376.6,640,15982.7,320,204804.9,40,128320773
20/001,2020-01-02,Thursday,15,17,29,30,34,37,40,,2,4,4,2,0,2,2,2,0,0,0,6,925910,184.5,80290,396.5,9600,8680.5,640,12376,320,166014.5,40,112337702
19/144,2019-12-31,Tuesday,5,10,18,20,28,33,17,,4,2,2,4,2,2,1,1,0,0,0,1.5,1029510,99.5,41380,224.5,9600,5415.3,640,5874.8,320,89202.8,40,41448970
19/143,2019-12-28,Saturday,1,22,25,27,31,36,47,,2,4,4,2,1,0,3,2,0,1,8000000,2,1042650,50,111210,149,9600,3499.2,640,4142.5,320,68299.9,40,42600865
19/142,2019-12-24,Tuesday,5,11,14,23,30,32,20,11,4,2,3,3,1,2,2,1,0,1,30307270,2,1239740,129.4,51090,280.5,9600,5637.3,640,7323.6,320,94437,40,56641726
19/141,2019-12-22,Sunday,11,22,24,26,41,42,2,"22,24",3,3,2,4,0,1,3,0,2,0,0,3,832790,74.5,89420,229.5,9600,4017,640,6521.7,320,77461.2,40,52338095
19/140,2019-12-19,Thursday,22,24,28,31,35,39,12,,2,4,3,3,0,0,3,3,0,0,0,0.5,1053375,61,92090,172.7,9600,3193.5,640,5476.1,320,60807,40,43186166
19/139,2019-12-17,Tuesday,3,20,23,30,34,41,47,,3,3,3,3,1,1,2,1,1,0,0,1,1987590,42.5,124710,122,9600,2909.1,640,3478.5,320,61235.1,40,39179095
19/138,2019-12-14,Saturday,2,4,6,8,28,29,5,6,4,2,1,5,4,0,2,0,0,5.5,6886530,22,39520,478,19200,1384.2,9600,12944.3,640,21544.3,320,138949.1,40,64385671
19/137,2019-12-12,Thursday,6,21,32,35,39,49,15,"6,35",2,4,4,2,1,0,1,3,1,0,0,1,3103360,71,116550,202,9600,4307.1,640,5572.9,320,81581.5,40,60143755
19/136,2019-12-10,Tuesday,5,6,11,12,28,35,17,,4,2,3,3,2,2,1,1,0,0,0,4.5,390300,185.5,25240,432,9600,8426.2,640,9561.2,320,126861.4,40,56557805
19/135,2019-12-07,Saturday,14,25,26,30,32,47,4,,1,5,2,4,0,1,3,1,1,0,0,0,0,58,103250,173.7,9600,3288,640,4701.6,320,62208.9,40,44848278
19/134,2019-12-05,Thursday,2,6,8,16,23,31,1,23,5,1,2,4,3,1,1,1,0,0,0,2.5,493950,110,29930,458,9600,5823,640,10917.1,320,88822.5,40,41883295
19/133,2019-12-03,Tuesday,1,15,23,29,45,47,6,1,3,3,6,0,1,1,2,0,2,0,0,2,953390,42.5,119640,159.5,9600,3112,640,4423.1,320,55792.6,40,39146475
19/132,2019-11-30,Saturday,1,10,18,24,40,49,7,,4,2,2,4,2,1,1,1,1,1,28543660,9.5,175040,214,20720,553,9600,8994.2,640,12034.7,320,113770.4,40,56401001
19/131,2019-11-28,Thursday,22,23,29,36,41,44,2,,2,4,3,3,0,0,3,1,2,0.5,23554880,1.5,2305310,136.5,67550,255,9600,6352.4,640,7980.9,320,113610.4,40,72120258
19/130,2019-11-26,Tuesday,5,9,15,25,42,45,38,,3,3,5,1,2,1,1,0,2,0,0,4.5,534710,233.5,27480,352.7,9600,9915.3,640,7140.5,320,103700.1,40,62579159
19/129,2019-11-24,Sunday,1,20,28,30,35,46,15,35,2,4,2,4,1,1,2,1,1,0,0,2,1407040,61,123020,181.5,9600,4116.4,640,6062.9,320,86194.7,40,56260824
19/128,2019-11-21,Thursday,3,4,5,10,35,38,7,4,4,2,3,3,4,0,0,2,0,0,0,3,533830,79.5,53710,445,9600,5570.7,640,11547.2,320,96063.4,40,50199159
19/127,2019-11-19,Tuesday,1,4,12,13,24,42,48,,5,1,2,4,2,2,1,0,1,0,0,2.5,705850,115,40910,208.5,9600,6015.1,640,5548.5,320,95996.8,40,45174770
19/126,2019-11-16,Saturday,10,23,28,39,44,47,13,,2,4,3,3,1,0,2,1,2,0.5,10976475,1,2174440,58.5,99120,207.5,9600,3347.5,640,4956.2,320,63369,40,44787343
19/125,2019-11-14,Thursday,2,3,13,18,31,49,14,"18,31",4,2,4,2,2,2,0,1,1,0,0,1,2170210,76.5,75650,163,9600,3962.9,640,5082.1,320,78414.7,40,45857254
19/124,2019-11-10,Sunday,6,17,18,23,31,46,44,,4,2,3,3,1,2,1,1,1,0,0,0.5,918975,47,104280,127.5,9600,2845.4,640,3285,320,56474.9,40,36703959
19/123,2019-11-07,Thursday,7,20,30,33,34,44,46,30,2,4,2,4,1,1,1,2,1,3,45319750,8,1562200,473.5,70380,1126,9600,25307.7,640,29895.5,320,444800,40,270227069
19/122,2019-11-02,Saturday,13,15,25,30,40,46,26,13,2,4,3,3,0,2,2,1,1,0,0,9,841640,210,96180,571.5,9600,11795.2,640,16433.1,320,217457.9,40,152750657
19/121,2019-10-29,Tuesday,2,10,13,19,20,24,17,24,6,0,2,4,2,3,1,0,0,0,0,6,874550,310.5,45060,720.9,9600,16501.5,640,16631.7,320,251547.9,40,132051302
19/120,2019-10-26,Saturday,1,17,24,30,40,49,48,,3,3,3,3,1,1,2,1,1,1,16070680,4.5,423830,64,79460,201.5,9600,4227.5,640,5955.5,320,67017.6,40,42961269
19/119,2019-10-24,Thursday,7,10,16,23,27,34,24,,4,2,3,3,2,1,2,1,0,0.5,10348900,3.5,579800,103,52530,232.5,9600,5314.8,640,7698,320,92147,40,49350847
19/118,2019-10-22,Tuesday,1,6,11,31,41,47,32,"1,6",3,3,5,1,2,1,0,1,2,0,0,1,1932660,234,22020,194,9600,6866.2,640,4515.2,320,78710.4,40,46312559
19/117,2019-10-19,Saturday,1,6,19,22,42,44,25,19,4,2,2,4,2,1,1,0,2,0,0,0.5,811875,59.5,72770,105,9600,3118.2,640,3380.2,320,60394.3,40,34067945
19/116,2019-10-17,Thursday,14,18,19,21,45,47,49,,4,2,4,2,0,3,1,0,2,2,42731540,6,1061030,181.5,93530,460.5,9600,8943,640,14380.5,320,176372.4,40,126740567
19/115,2019-10-13,Sunday,10,16,27,29,37,42,44,,2,4,3,3,1,1,2,1,1,0,0,4.5,1130870,147,92310,359,9600,7660.2,640,10131.5,320,149952.6,40,101612510
19/114,2019-10-08,Tuesday,13,23,35,36,43,47,16,13,2,4,5,1,0,1,1,2,2,0,0,2,1727070,149,61810,367,9600,7905.2,640,10131,320,130838,40,78450179
19/113,2019-10-03,Thursday,1,12,13,15,19,45,44,,5,1,5,1,1,4,0,0,1,0,0,3.5,885170,127,65050,279.5,9600,7582.6,640,7903,320,132549.3,40,70488672
19/112,2019-09-29,Sunday,2,3,7,10,18,48,33,"2,3",5,1,2,4,4,1,0,0,1,0,0,1.5,1506440,156.5,38500,294.5,9600,7560.6,640,7980.2,320,126021.5,40,58916367
19/111,2019-09-26,Thursday,2,3,11,20,27,46,4,46,4,2,3,3,2,2,1,0,1,0,0,5,435610,78,74460,285.5,9600,4469.1,640,7859.8,320,79701.8,40,50482820
19/110,2019-09-24,Tuesday,6,17,44,45,46,49,41,44,2,4,3,3,1,1,0,0,4,0,0,0,0,50.5,107760,201,9600,4264.5,640,4775,320,62833,40,43799501
19/109,2019-09-22,Sunday,3,28,39,40,42,44,37,"39,42,44",1,5,2,4,1,0,1,2,2,0,0,0,0,49,106880,106.5,9600,2369,640,2913.6,320,46540.2,40,36520954
19/108,2019-09-19,Thursday,8,17,34,39,42,44,7,,2,4,2,4,1,1,0,2,2,1.5,9528260,1,2097460,66.5,84100,173.5,9600,3340,640,4834.4,320,62998.9,40,43030039
19/107,2019-09-17,Tuesday,12,20,22,26,30,36,2,12,3,3,0,6,0,2,3,1,0,0,0,4.5,340800,87.5,46730,260.7,9600,4119,640,6130.5,320,68394.4,40,39022038
19/106,2019-09-14,Saturday,1,4,7,12,19,28,43,,5,1,3,3,3,2,1,0,0,2.5,3200000,0.5,92670,291.7,19200,163,9600,8705.9,640,3876.5,320,98209.9,40,34151015
19/105,2019-09-12,Thursday,5,23,24,25,31,33,7,,3,3,5,1,1,0,3,2,0,1,51826970,1.5,2463080,176.5,55820,428.5,9600,8543.6,640,11896.6,320,146997.9,40,85805994
19/104,2019-09-10,Tuesday,11,12,13,28,43,49,47,"12,43",3,3,4,2,0,3,1,0,2,0.5,40743080,7,1023150,293.5,65070,774.5,9600,14966.5,640,17831.5,320,274788.1,40,159593779
19/103,2019-09-07,Saturday,7,8,12,25,43,45,13,,3,3,4,2,2,1,1,0,2,0,0,3,411060,58.5,56210,245,9600,3992.7,640,5865.6,320,71088.5,40,34559909
19/102,2019-09-05,Thursday,3,4,18,29,41,44,39,,3,3,3,3,2,1,1,0,2,1,38053270,1,2836580,75,100850,175,9600,4278,640,5045.2,320,84613.8,40,55921774
19/101,2019-09-03,Tuesday,2,8,17,24,27,39,10,24,4,2,3,3,2,1,2,1,0,0,0,0.5,1176390,74.5,84210,255.9,9600,4665.4,640,7528.9,320,90472.3,40,53161464
19/100,2019-08-31,Saturday,1,6,14,24,32,44,5,"24,44",4,2,1,5,2,1,1,1,1,0,0,2,1016770,73,74280,168,9600,4181.8,640,5823,320,72398.9,40,44345050
19/099,2019-08-29,Thursday,8,24,26,37,38,44,18,,2,4,1,5,1,0,2,2,1,0,0,0,0,81.5,58960,198.5,9600,3878,640,5693.7,320,68840.3,40,41045851
19/098,2019-08-27,Tuesday,6,18,29,33,43,46,16,,2,4,3,3,1,1,1,1,2,0,0,3.5,489370,64,71360,176,9600,3153.5,640,5493.8,320,58210.4,40,37671120
19/097,2019-08-24,Saturday,1,10,21,31,47,49,13,1,3,3,5,1,2,0,1,1,2,1,17193110,0.5,917790,83.5,58620,179,9600,4662,640,5162.2,320,72625.2,40,42049085
19/096,2019-08-22,Thursday,1,4,5,6,42,43,8,,4,2,3,3,4,0,0,0,2,0,0,7.5,163830,85,38550,495.7,9600,6098.5,640,10603.4,320,72931.9,40,41676385
19/095,2019-08-20,Tuesday,12,15,16,23,32,35,2,32,4,2,3,3,0,3,1,2,0,0,0,2,878660,79,59310,156.5,9600,3394.7,640,5091.2,320,61888.4,40,38247961
19/094,2019-08-17,Saturday,4,9,20,26,32,44,11,,3,3,1,5,2,1,1,1,1,1,20469990,0.7,1967114.8,73,73320,188,9600,4105.5,640,6417.1,320,72364.3,40,44602900
19/093,2019-08-15,Thursday,2,13,23,35,38,46,17,,3,3,3,3,1,1,1,2,1,0.5,14448210,3.5,646580,142,42490,302.5,9600,5754,640,6946,320,88393.7,40,53563246
19/092,2019-08-13,Tuesday,10,14,16,29,30,43,11,,3,3,2,4,1,2,2,0,1,0.5,22107275,5,566000,145.5,51860,392.5,9600,6548.6,640,10029.9,320,109309.6,40,67173592
19/091,2019-08-10,Saturday,15,22,42,44,48,49,6,44,2,4,2,4,0,1,1,0,4,0,0,0,0,64,111510,176,9600,4174.5,640,5554.5,320,73886,40,53151958
19/090,2019-08-08,Thursday,8,9,19,25,30,44,37,,3,3,3,3,2,1,2,0,1,0,0,2.5,798030,157,33880,205.5,9600,6756.3,640,5671.6,320,110628.6,40,50283064
19/089,2019-08-06,Tuesday,5,6,15,21,22,37,36,37,5,1,4,2,2,1,2,1,0,0,0,2,1072770,79,72420,171,9600,4075.8,640,5598.9,320,74627.8,40,45824552
19/088,2019-08-03,Saturday,23,24,27,28,37,43,16,43,2,4,4,2,0,0,4,1,1,0,0,1,1991680,49.5,107290,130.5,9600,3279.5,640,4063.2,320,60840.1,40,40141822
19/087,2019-08-01,Thursday,13,18,20,21,43,49,30,,4,2,4,2,0,3,1,0,2,0.5,6621645,4.5,388390,62,75170,167.5,9600,3224,640,4379.8,320,58670.3,40,37451568
19/086,2019-07-30,Tuesday,3,16,19,22,41,44,29,19,4,2,3,3,1,2,1,0,2,0,0,1,2033230,34.5,157150,102,9600,2517.2,640,3302.4,320,48883.6,40,37958977
19/085,2019-07-27,Saturday,4,14,19,24,39,45,8,,4,2,3,3,1,2,1,1,1,1,48857920,3,1077060,95,90700,295.5,9600,5877.1,640,8753.2,320,103523.5,40,68910770
19/084,2019-07-25,Thursday,7,10,11,16,18,35,43,,5,1,3,3,2,3,0,1,0,0.5,39164360,5.5,1110830,281,57970,531,9600,14976,640,15569,320,270405.6,40,139332117
19/083,2019-07-23,Tuesday,14,19,25,38,39,42,46,,2,4,3,3,0,2,1,2,1,0,0,0,0,63.5,93730,136.5,9600,3318.8,640,4865,320,63655.9,40,44240595
19/082,2019-07-20,Saturday,26,27,30,33,44,47,37,,0,6,3,3,0,0,3,1,2,0,0,0,0,37.5,118910,140,9600,2392,640,3620,320,47017.1,40,33637960
19/081,2019-07-18,Thursday,2,4,8,11,17,31,19,,5,1,3,3,3,2,0,1,0,1.5,23564150,6.5,284230,183,26920,423.2,9600,7545.2,640,10065.5,320,118925.6,40,56304815
19/080,2019-07-16,Tuesday,6,16,22,28,37,45,13,,3,3,2,4,1,1,2,1,1,0,0,1.5,1721370,102.5,67170,254.5,9600,4421.6,640,6583.3,320,84187.6,40,54932189
19/079,2019-07-13,Saturday,12,14,32,35,38,46,16,32,2,4,1,5,0,2,0,3,1,0,0,4,592710,55,114950,160.5,9600,3251,640,4744.9,320,62495,40,46311996
19/078,2019-07-11,Thursday,3,6,26,27,32,49,29,3,2,4,3,3,2,0,2,1,1,0,0,1,1983270,68.2,77540,152.5,9600,3760.8,640,5199.2,320,74055.3,40,42641377
19/077,2019-07-09,Tuesday,3,5,20,31,39,42,25,42,3,3,4,2,2,1,0,2,1,0,0,0.5,995115,39.5,134360,139.5,9600,2698,640,4239.6,320,54932.7,40,39259991
19/076,2019-07-06,Saturday,7,8,10,11,28,42,29,,4,2,2,4,3,1,1,0,1,1,11600520,10,120010,149,21470,363.9,9600,7329.1,640,7729.6,320,106097.7,40,40705997
19/075,2019-07-04,Thursday,1,2,12,15,24,44,14,15,5,1,2,4,2,2,1,0,1,0,0,3.5,403860,76.5,49270,191,9600,3835.4,640,5561.7,320,65618.9,40,35274402
19/074,2019-07-02,Tuesday,13,14,15,42,45,48,2,13,3,3,3,3,0,3,0,0,3,1,69037880,5.5,814200,92.5,129090,281,9600,5579.5,640,7886.5,320,112585,40,85374919
19/073,2019-06-29,Saturday,9,13,22,29,31,46,45,46,3,3,4,2,1,1,2,1,1,0,0,2,1686990,100,89970,279,9600,5804.5,640,7685,320,115514,40,70723992
19/072,2019-06-27,Thursday,12,20,33,42,46,47,27,46,2,4,2,4,0,2,0,1,3,0,0,2.5,1301800,97.5,89010,230,9600,4361.5,640,6777.5,320,85645.3,40,63771451
19/071,2019-06-25,Tuesday,23,25,29,32,40,46,13,29,1,5,3,3,0,0,3,2,1,0,0,1.5,1838800,68.5,107370,268.5,9600,4368.4,640,6744.6,320,82971.3,40,57513294
