Draw,Date,Weekday,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
25/128,2025-12-11,Thursday,1,5,6,25,30,42,43,6,3,3,3,3,3,0,2,0,1,1,82123790,7.5,929270,358.5,51840,613.5,9600,17550.8,640,17412.7,320,320308.6,40,185287642
25/127,2025-12-06,Saturday,4,6,26,28,34,40,25,"6,34",2,4,0,6,2,0,2,2,0,0.5,61215075,5.5,1782400,408.5,63990,1009.5,9600,23023.2,640,31472.9,320,433373.5,40,262971650
25/126,2025-12-02,Tuesday,6,18,29,34,37,38,39,37,2,4,2,4,1,1,1,3,0,0,0,11.5,625440,328.9,58310,807.5,9600,16758.5,640,25689.5,320,319964.1,40,194767307
25/125,2025-11-25,Tuesday,1,2,17,35,37,48,8,35,3,3,4,2,2,1,0,2,1,0,0,3.5,1730720,204.5,78980,586,9600,11042,640,18920.2,320,218759.7,40,156858434
25/124,2025-11-20,Thursday,19,26,33,35,36,39,5,"26,36",1,5,4,2,0,1,1,4,0,0,0,4.5,752740,126,71690,347,9600,8579.7,640,10762.5,320,148708,40,91244931
25/123,2025-11-18,Tuesday,2,4,10,26,28,36,23,"2,28",3,3,0,6,3,0,2,1,0,0,0,4,722740,231.2,33340,387.7,9600,7495.9,640,9667.8,320,135082.2,40,79703117
25/122,2025-11-16,Sunday,2,11,13,28,38,47,7,"11,28",3,3,3,3,1,2,1,1,1,0,0,1.5,1749260,138,50700,390.5,9600,6688.5,640,11525.6,320,118927.2,40,73621562
25/121,2025-11-13,Thursday,10,11,28,30,37,39,15,"28,37",2,4,3,3,1,1,2,2,0,0,0,0.5,1101730,97.5,60260,192.5,9600,5324.6,640,6444.6,320,98585.3,40,58624243
25/120,2025-11-11,Tuesday,18,20,28,37,38,40,41,,2,4,1,5,0,2,1,3,0,0,0,2.5,830450,102.4,54060,240.5,9600,5274,640,5236.6,320,90521.4,40,55697060
25/119,2025-11-08,Saturday,7,9,16,17,33,46,49,"17,33",4,2,4,2,2,2,0,1,1,0,0,4.5,342410,65,63210,167.5,9600,4378.5,640,5192,320,78370.7,40,42651870
25/118,2025-11-06,Thursday,10,17,22,33,40,41,31,,3,3,3,3,1,1,1,2,1,0,0,1.5,944920,49,77130,154,9600,3406.2,640,4216.1,320,59719.5,40,37899615
25/117,2025-11-04,Tuesday,19,20,26,28,39,44,4,,2,4,2,4,0,2,2,1,1,2,34096060,1.5,4042690,242,66820,613.5,9600,12609.6,640,18064.2,320,244152.6,40,159489015
25/116,2025-10-28,Tuesday,4,7,15,21,45,46,24,7,4,2,4,2,2,1,1,0,2,1,51565110,2.5,1477120,162,60780,390,9600,7327.7,640,11274.5,320,141585.8,40,96795900
25/115,2025-10-25,Saturday,6,7,27,36,39,43,1,,2,4,4,2,2,0,1,2,1,0,0,2,1424430,117,64930,256.5,9600,6388.5,640,9268.9,320,123017.8,40,75643571
25/114,2025-10-23,Thursday,4,19,24,25,26,46,39,,3,3,2,4,1,1,3,0,1,0,0,4,587510,117.5,53330,313.5,9600,6137.4,640,8013.7,320,109043.9,40,64829335
25/113,2025-10-21,Tuesday,1,8,9,11,18,32,13,18,5,1,3,3,3,2,0,1,0,0,0,2.5,623440,294,19200,556.5,9600,12202.2,640,12056.3,320,165491.3,40,60435713
25/112,2025-10-18,Saturday,5,13,17,18,31,44,2,,4,2,4,2,1,3,0,1,1,0,0,0,0,87.5,52970,183,9600,4244.7,640,5288.1,320,78514.6,40,46775382
25/111,2025-10-16,Thursday,2,11,32,40,43,48,12,32,2,4,2,4,1,1,0,2,2,0,0,1.5,1168990,46,101650,167.5,9600,2772.7,640,5066.2,320,58994.7,40,44664515
25/110,2025-10-14,Tuesday,3,15,17,24,32,44,20,,4,2,3,3,1,2,1,1,1,0,0,1,1571530,77.5,54070,140.2,9600,3470,640,4125.7,320,65038.9,40,41135710
25/109,2025-10-11,Saturday,5,6,18,19,30,39,7,39,4,2,3,3,2,2,1,1,0,1,12187540,4.5,310180,99.5,37400,331.5,9600,4846.5,640,8070.3,320,81511.1,40,43347710
25/108,2025-10-09,Thursday,1,3,24,31,39,45,7,24,3,3,5,1,2,0,1,2,1,0,0,1,1573960,66.5,63110,170,9600,3427.7,640,6534.9,320,61582.8,40,42293980
25/107,2025-10-06,Monday,15,17,19,23,24,34,33,,5,1,4,2,0,3,2,1,0,1.5,54640510,9.5,770550,425.4,45880,1082.5,9600,20822.9,640,29189.9,320,355006,40,207006912
25/106,2025-09-30,Tuesday,13,21,33,41,44,46,43,,2,4,4,2,0,1,1,1,3,2,8625000,1.5,1390300,77.5,71750,191.5,9600,3948.5,640,6402,320,75704.3,40,53972020
25/105,2025-09-27,Saturday,8,14,16,18,26,48,44,,4,2,0,6,1,3,1,0,1,0.5,10993635,3,665670,79,67410,223,9600,5412.4,640,6153,320,96769.9,40,54672007
25/104,2025-09-25,Thursday,2,11,22,27,46,47,32,,3,3,3,3,1,1,2,0,2,0,0,2.5,803200,78.5,68210,217.5,9600,4405,640,6509.5,320,84195.9,40,53543118
25/103,2025-09-20,Saturday,8,13,17,24,36,43,41,36,4,2,3,3,1,2,1,1,1,0,0,0,0,73.5,54160,133.5,9600,3337.9,640,3639.7,320,60763.6,40,38954741
25/102,2025-09-18,Thursday,22,33,35,36,37,48,30,"22,33",1,5,3,3,0,0,1,4,1,0.5,4000000,1,1593770,87.5,48570,106.5,9600,3351,640,3800.2,320,58305.9,40,40624421
25/101,2025-09-16,Tuesday,14,21,22,28,32,33,25,21,3,3,2,4,0,1,3,2,0,1,13369530,0,0,110.5,43190,236,9600,5369.1,640,7144.5,320,90555.2,40,50682812
25/100,2025-09-13,Saturday,15,21,23,37,47,49,30,21,3,3,6,0,0,1,2,1,2,0,0,1,1551870,49.5,83600,95,9600,2431.5,640,3022.7,320,49391.6,40,38153748
25/099,2025-09-11,Thursday,11,21,22,25,32,44,38,"32,44",3,3,3,3,0,1,3,1,1,1,61448360,7.5,498020,255.5,38980,550,9600,12305.4,640,13765.5,320,206653.7,40,107755266
25/098,2025-09-09,Tuesday,7,15,32,40,42,44,9,,2,4,2,4,1,1,0,2,2,0,0,3.5,1062310,143.5,69090,376,9600,7092.5,640,11476.4,320,133197.6,40,96617126
25/097,2025-09-06,Saturday,6,19,22,23,34,43,11,23,4,2,3,3,1,1,2,1,1,0.5,39088490,10,605890,265,60970,747,9600,14783.4,640,22950,320,266089.8,40,165747171
25/096,2025-09-02,Tuesday,5,18,23,24,29,49,11,"18,49",4,2,4,2,1,1,3,0,1,0,0,6.5,415510,128,56260,433.5,9600,6680.5,640,11524.7,320,126342.4,40,76055719
25/095,2025-08-30,Saturday,6,18,31,33,44,49,2,"44,49",2,4,3,3,1,1,0,2,2,0,0,2,1111470,78.5,75510,185,9600,4803.5,640,5608.1,320,90032.4,40,57755971
25/094,2025-08-28,Thursday,5,36,39,44,48,49,32,48,1,5,3,3,1,0,0,2,3,0,0,3,652820,68.5,76240,203.5,9600,4185,640,5477,320,74321,40,51295514
25/093,2025-08-26,Tuesday,2,3,16,25,38,48,6,,3,3,2,4,2,1,1,1,1,0,0,1,1761350,62.5,75150,208,9600,3895.1,640,6715.6,320,74962.6,40,47651847
25/092,2025-08-23,Saturday,17,22,26,36,39,45,14,45,2,4,3,3,0,1,2,2,1,0,0,0,0,40.5,94840,100.5,9600,2777.2,640,3225.5,320,51327.1,40,36416094
25/091,2025-08-21,Thursday,6,8,10,23,32,45,3,"32,45",4,2,2,4,3,0,1,1,1,1,8000000,4.5,265370,95.5,33340,256,9600,4261.1,640,7062,320,72440.1,40,37044040
25/090,2025-08-19,Tuesday,28,32,34,37,45,49,7,32,0,6,3,3,0,0,1,3,2,1,18419800,0.5,1006135,51.5,104190,166.5,9600,3231.5,640,5159.2,320,64811.5,40,50584316
25/089,2025-08-16,Saturday,4,10,15,20,32,38,26,,4,2,1,5,2,2,0,2,0,0,0,4.5,324660,80.5,48390,294.5,9600,3536.8,640,6516.2,320,64785.2,40,41731846
25/088,2025-08-14,Thursday,1,13,25,27,31,34,33,,2,4,5,1,1,1,2,2,0,0,0,1,1300870,50.5,68690,157,9600,2956.9,640,4880.4,320,57108.7,40,35353084
25/087,2025-08-12,Tuesday,8,16,18,28,29,32,20,,3,3,1,5,1,2,2,1,0,2,7783550,4.5,358910,179.5,23990,299.9,9600,7806.1,640,7270.3,320,111423.8,40,50935937
25/086,2025-08-09,Saturday,25,36,44,45,48,49,13,25,0,6,3,3,0,0,1,1,4,0.5,10721755,5.5,363670,107,49840,214.5,9600,4849.5,640,5321.5,320,73860.5,40,52715562
25/085,2025-08-07,Thursday,3,7,25,29,37,39,8,,2,4,6,0,2,0,2,2,0,0,0,0.5,1063275,110.5,51310,345.7,9600,5486.2,640,10647.8,320,103152.9,40,60924937
25/084,2025-08-02,Saturday,10,14,18,21,34,44,24,"10,21",4,2,1,5,1,2,1,1,1,0,0,2.5,486150,37,87590,293,9600,2348.5,640,7168.3,320,46950.9,40,35167166
25/083,2025-07-31,Thursday,10,21,23,27,35,47,39,35,3,3,5,1,1,0,3,1,1,1,12926330,1,1642110,57,76820,131,9600,3173.9,640,4094.5,320,61765,40,42043947
25/082,2025-07-29,Tuesday,9,11,17,28,35,43,42,,3,3,5,1,1,2,1,1,1,0,0,2,674140,67.5,53260,155,9600,3912.5,640,4480.5,320,70811.1,40,37572719
25/081,2025-07-26,Saturday,19,22,25,32,33,45,36,,2,4,4,2,0,1,2,2,1,1,53095300,7,718820,238.5,56260,475.5,9600,12722.7,640,15167.5,320,230187.2,40,135181179
